7	16	2	5	5	8	0	
10	24	4	6	7	12	0	
17	34	6	9	10	17	0	
15	39	6	11	10	19	0	
16	43	7	12	12	21	0	
18	47	8	14	13	25	0	
24	60	11	18	16	31	0	
25	65	11	20	17	33	0	
49	124	22	35	33	64	1	
46	116	20	34	31	61	1	
50	122	22	36	33	68	1	
53	131	25	40	35	74	1	
48	127	26	40	40	73	1	
56	161	27	45	42	84	1	
47	130	24	48	36	70	1	
44	117	21	37	31	63	1	
43	115	21	35	29	62	1	
45	122	22	37	31	65	1	
47	125	23	39	32	67	1	
14	30	5	8	11	14	1	
10	26	4	7	8	13	0	
12	30	5	9	9	16	0	
14	34	6	11	10	18	0	
16	42	7	13	12	22	0	
27	70	13	21	19	37	0	
27	69	14	24	18	37	0	
10	20	4	7	8	12	0	
10	27	5	8	7	12	0	
14	33	6	10	10	16	0	
16	43	7	11	11	23	0	
38	75	16	18	32	41	3	
40	78	15	21	25	44	2	
12	22	3	6	8	12	0	
14	33	6	8	9	16	1	
10	19	4	4	8	17	0	
13	28	3	7	8	14	0	
12	39	6	7	7	13	3	
10	25	8	9	11	16	0	
10	18	3	4	12	47	1	
29	116	6	12	21	25	1	
12	72	4	6	9	10	2	
13	21	5	11	12	19	2	
10	50	13	9	15	15	2	
15	26	6	8	9	21	1	
