22	28	34	34	5	
23	31	35	45	5	
16	24	26	34	5	
17	26	27	36	5	
16	23	26	34	5	
16	49	38	75	5	
16	47	37	71	5	
16	24	26	36	5	
16	24	27	35	5	
15	24	27	35	4	
16	24	27	35	5	
25	42	62	51	9	
20	27	34	37	5	
16	24	31	39	5	
18	25	27	40	6	
15	24	35	35	5	
16	24	26	36	5	
24	38	33	41	7	
16	33	27	39	5	
17	25	30	41	5	
31	42	45	63	9	
16	24	27	34	5	
16	23	27	36	5	
16	106	63	159	5	
18	114	68	169	6	
17	107	63	158	5	
20	4	72	189	6	
16	107	64	159	5	
19	5	68	166	6	
16	104	64	155	5	
16	106	62	157	5	
16	104	63	160	5	
17	116	67	161	5	
16	105	61	157	5	
2	31	11	42	0	
16	107	62	164	5	
